ltc1md,467,30970,2025-03-19T15:34:21,2025-11-02T00:00:00,fixed_product
ltc1snz,332,26611,2025-04-09T08:19:29,2025-11-02T00:00:00,fixed_product
ltc1cb,154,11507,2025-02-25T17:55:42,2025-11-02T00:00:00,fixed_product
ltc1ans,81,5455,2024-04-13T16:11:47,2025-11-02T00:00:00,fixed_product
ltc1sib,77,4831,2024-04-10T10:46:18,2025-11-02T00:00:00,fixed_product
ltc1ug,69,3904,2024-02-23T16:54:55,2025-11-02T00:00:00,fixed_product
ltc2md,59,3820,2025-03-19T15:34:29,2025-11-02T00:00:00,fixed_product
ltc1tm,53,4041,2024-02-15T17:27:13,2025-11-02T00:00:00,fixed_product
ltc1cab,42,2527,2025-07-23T10:48:33,2025-11-02T00:00:00,fixed_product
ltc1uilm,39,2584,2025-05-20T16:23:49,2025-11-02T00:00:00,fixed_product
ltc1vlt,35,3006,2024-04-02T15:40:59,2025-11-02T00:00:00,fixed_product
ltc1glv,32,2719,2025-04-18T16:22:38,2025-11-02T00:00:00,fixed_product
ltc1unc,29,1406,2025-03-13T10:32:13,2025-11-02T00:00:00,fixed_product
ltc1btn,28,1761,2024-03-29T11:21:30,2025-11-02T00:00:00,fixed_product
ltc1bok,27,1943,2024-03-14T13:46:23,2025-11-02T00:00:00,fixed_product
ltc1sic,27,2870,2025-03-17T22:05:33,2025-11-02T00:00:00,fixed_product
ltc1mst,26,2363,2025-04-30T16:32:02,2025-11-02T00:00:00,fixed_product
ltc1db,25,1642,2024-07-02T21:57:28,2025-11-02T00:00:00,fixed_product
ltc1coco,25,3734,2025-04-18T17:17:58,2025-11-02T00:00:00,fixed_product
ltcted1,25,1470,2025-05-20T13:19:50,2025-11-02T00:00:00,fixed_product
ltc1ccv,24,1463,2025-07-11T11:18:38,2025-11-02T00:00:00,fixed_product
ltc51st1,22,1545,2024-06-17T01:09:42,2025-11-02T00:00:00,fixed_product
ltc1bnl,21,1362,2024-04-16T20:52:08,2025-11-02T00:00:00,fixed_product
ltc1atsb,19,1403,2024-03-14T19:37:39,2025-11-02T00:00:00,fixed_product
ltc4ins,18,935,2025-04-18T18:55:31,2025-11-02T00:00:00,fixed_product
ltc1clc,18,967,2025-03-12T17:11:52,2025-11-02T00:00:00,fixed_product
ltc1ccm,18,1218,2024-02-23T16:43:55,2025-11-02T00:00:00,fixed_product
ltc1mps,18,1194,2024-09-24T18:37:24,2025-11-02T00:00:00,fixed_product
ltc1us,18,1162,2025-07-02T14:11:09,2025-11-02T00:00:00,fixed_product
ltc1cai,16,1615,2024-06-18T15:52:12,2025-11-02T00:00:00,fixed_product
ltc1gdf,14,1359,2024-02-20T11:33:24,2025-11-02T00:00:00,fixed_product
ltc1fsp,14,1079,2024-04-19T11:00:12,2025-11-02T00:00:00,fixed_product
ltc1bff,14,586,2025-05-20T12:43:03,2025-11-02T00:00:00,fixed_product
ltc1sel,13,600,2025-05-21T20:47:40,2025-11-02T00:00:00,fixed_product
ltc1mala,13,1683,2025-03-17T22:05:29,2025-11-02T00:00:00,fixed_product
ltc1ssg,12,697,2025-03-04T08:12:00,2025-11-02T00:00:00,fixed_product
ltc1siam,11,684,2025-07-15T13:41:37,2025-11-02T00:00:00,fixed_product
ltc1br,11,560,2023-10-11T19:19:41,2025-11-02T00:00:00,fixed_product
ltc2tm,9,624,2024-02-15T17:27:24,2025-11-02T00:00:00,fixed_product
ltc1bplo,8,648,2025-03-05T09:10:23,2025-11-02T00:00:00,fixed_product
ltc1mm,8,655,2025-05-06T19:22:42,2025-11-02T00:00:00,fixed_product
ltc25om1,8,575,2024-07-26T08:39:52,2025-11-02T00:00:00,fixed_product
ltc2cb,8,684,2025-02-25T21:23:18,2025-11-02T00:00:00,fixed_product
ltc2bok,7,240,2024-03-14T13:46:50,2025-11-02T00:00:00,fixed_product
ltc2sib,7,488,2024-04-10T10:48:31,2025-11-02T00:00:00,fixed_product
ltc2snz,7,672,2025-04-09T08:19:33,2025-11-02T00:00:00,fixed_product
ltc1ges,7,402,2025-03-17T22:46:04,2025-11-02T00:00:00,fixed_product
ltc1bam,7,374,2025-04-07T11:21:20,2025-11-02T00:00:00,fixed_product
ltc1bek,7,521,2025-03-24T16:32:48,2025-11-02T00:00:00,fixed_product
ltc37ins,7,456,2025-04-18T18:55:26,2025-11-02T00:00:00,fixed_product
ltc1atb,6,371,2025-05-12T11:13:32,2025-11-02T00:00:00,fixed_product
ltcbins,6,242,2025-08-28T15:42:53,2025-11-02T00:00:00,fixed_product
ltc1chp,6,586,2025-03-17T22:45:08,2025-11-02T00:00:00,fixed_product
ltc1coim,5,414,2024-03-28T19:35:53,2025-11-02T00:00:00,fixed_product
ltc2bnl,5,312,2024-04-16T20:52:22,2025-11-02T00:00:00,fixed_product
ltc2ug,5,576,2024-02-23T16:55:04,2025-11-02T00:00:00,fixed_product
ltc1ms,5,236,2025-04-02T19:55:07,2025-11-02T00:00:00,fixed_product
ltc1same,5,442,2025-04-18T16:06:56,2025-11-02T00:00:00,fixed_product
ltcsa1,4,344,2025-03-12T18:42:13,2025-11-02T00:00:00,fixed_product
ltc2sic,4,384,2025-03-17T22:05:41,2025-11-02T00:00:00,fixed_product
ltc2vlt,3,168,2024-04-02T15:41:05,2025-11-02T00:00:00,fixed_product
ltc25ipa1,3,294,2024-02-19T15:06:17,2025-11-02T00:00:00,fixed_product
ltc1sso,3,198,2025-03-25T18:07:58,2025-11-02T00:00:00,fixed_product
ltc1cmm,2,429,2025-05-29T08:54:41,2025-11-02T00:00:00,fixed_product
ltc1bcc,2,114,2025-07-21T10:35:57,2025-11-02T00:00:00,fixed_product
ltc2ccm,2,112,2024-02-23T16:44:01,2025-11-02T00:00:00,fixed_product
(Eliminato),2,161,,N/A,N/A
ltc2mala,2,144,2025-03-17T22:05:38,2025-11-02T00:00:00,fixed_product
ltc2bam,2,96,2025-04-07T11:21:25,2025-11-02T00:00:00,fixed_product
ltca1c,2,2300,2024-02-16T13:38:11,2025-11-02T00:00:00,fixed_product
ltc2bek,2,180,2025-03-24T16:33:36,2025-11-02T00:00:00,fixed_product
ltc1cmn,2,171,2025-07-11T11:18:52,2025-11-02T00:00:00,fixed_product
ltc1gl,2,482,2025-04-15T12:55:07,2025-11-02T00:00:00,fixed_product
ltc2gdf,2,192,2024-02-20T11:33:17,2025-11-02T00:00:00,fixed_product
ltc2atsb,2,288,2024-03-14T19:37:52,2025-11-02T00:00:00,fixed_product
ltc2ans,2,88,2024-04-13T16:11:52,2025-11-02T00:00:00,fixed_product
ltc2btn,2,144,2024-07-09T12:20:36,2025-11-02T00:00:00,fixed_product
ltc2ges,1,144,2025-03-17T22:46:10,2025-11-02T00:00:00,fixed_product
ltc1all,1,299,2025-04-04T11:25:29,2025-11-02T00:00:00,fixed_product
ltc2mm,1,72,2025-05-06T19:22:49,2025-11-02T00:00:00,fixed_product
ltc2all,1,48,2025-04-04T11:25:27,2025-11-02T00:00:00,fixed_product
(Eliminato),1,26,,N/A,N/A
ltc1odv,1,63,2025-07-25T00:28:04,2025-11-02T00:00:00,fixed_product
(Eliminato),1,0,,N/A,N/A
ltc2us,1,120,2025-07-02T14:11:18,2025-11-02T00:00:00,fixed_product
ltc1fvt,1,228,2025-08-07T14:28:25,2025-11-02T00:00:00,fixed_product
ltc1dec,1,38,2025-08-20T11:29:46,2025-11-02T00:00:00,fixed_product
ltc2uilm,1,60,2025-05-20T16:23:58,2025-11-02T00:00:00,fixed_product
ltc2db,1,48,2024-07-02T21:57:44,2025-11-02T00:00:00,fixed_product
ltc2fsp,1,20,2025-03-05T09:07:35,2025-11-02T00:00:00,fixed_product
ltc1gb,1,114,2025-09-16T17:37:05,2025-11-02T00:00:00,fixed_product
ltc2ms,1,48,2025-04-02T19:55:13,2025-11-02T00:00:00,fixed_product
ltc1atsm,1,115,2025-05-26T14:43:21,2025-11-02T00:00:00,fixed_product
ltc2siam,1,60,2025-07-15T13:41:46,2025-11-02T00:00:00,fixed_product
ltc1bjs,1,88,2025-09-25T09:25:26,2025-11-02T00:00:00,fixed_product
